Year,No.,Round,Pick,Player,Name,Team,College
NA,18,5,24,128,Greg Kucera,Browns,Northern Colorado
NA,19,6,5,135,Don Heater,Cardinals,Montana Tech
NA,20,6,17,147,Robert Hudson,Raiders,Northeastern State (OK)
NA,21,6,20,150,Curt Watson,Saints,Tennessee
NA,22,7,2,158,Steve Conley,Bengals,Kansas
NA,23,7,10,166,John Tarver,Patriots,Colorado
NA,24,7,13,169,John Sykes,Colts,Morgan State
NA,25,7,15,171,Lance Moon,Falcons,Wisconsin
NA,26,7,17,173,Ray Jamieson,Raiders,Memphis State
NA,27,7,24,180,Calvin Harrell,Dolphins,Arkansas State
NA,28,8,11,193,Stahle Vincent,Steelers,Rice
NA,29,8,14,196,Larry Ratcliff,Eagles,Eastern Michigan
NA,30,8,16,198,Henry Brandon,Falcons,Southern
NA,31,8,19,201,Hugh McKinnis,Browns,Arizona State
NA,32,8,20,202,Jackie Brown,Raiders,Stanford
NA,33,8,21,203,Moses Denson,Redskins,Maryland State
NA,34,9,3,211,Ed Richardson,Giants,Southern
NA,35,9,20,228,Dave Bigler,Raiders,Morningside
NA,36,9,26,234,Roy Bell,Cowboys,Oklahoma
NA,37,10,22,256,Dave Shilling,Colts,Oregon State
NA,38,10,24,258,Willie Aldridge,Vikings,South Carolina State
NA,39,11,20,280,Albert Schmidt,Rams,Pittsburgh State (KS)
NA,40,12,4,290,Willie Rodgers,Oilers,Kentucky State
NA,41,12,8,294,Mike Rich,Packers,Florida
NA,42,12,11,297,Doug Neill,Bears,Texas A&M
NA,43,12,13,299,John Bjorklund,Jets,Princeton
NA,44,13,1,313,Ed Moss,Bills,Southeast Missouri State
NA,45,13,5,317,Bob Warner,Broncos,Bloomsburg (PA)
NA,46,13,7,319,Jesse Lakes,Packers,Central Michigan
NA,47,13,24,336,Franklin Roberts,Vikings,Alcorn State
NA,48,14,10,348,Tom Durrance,Steelers,Florida
NA,49,14,20,358,Dennis Cambal,Raiders,William & Mary
NA,50,14,23,361,Marv Owens,Vikings,San Diego State
NA,51,14,25,363,Alan Thompson,Cowboys,Wisconsin
NA,52,15,1,365,Charles Hester,Raiders,Central State (OH)
NA,53,15,13,377,Roger Lawson,Bears,Western Michigan
NA,54,15,14,378,Tom Sullivan,Eagles,Miami (FL)
NA,55,15,23,387,Larry Marshall,Chiefs,Maryland
NA,56,16,5,395,Tom Bougus,Broncos,Boston College
NA,57,17,3,419,John Seyferth,Giants,Michigan
NA,58,17,4,420,Lou Harris,Broncos,USC
NA,59,17,7,423,Oscar Dragon,Chargers,Arizona State
NA,60,17,15,431,Bill Holland,Cardinals,USC
NA,61,17,18,434,William Portz,Browns,Sterling (KS)
NA,62,17,19,435,Ted Alexander,49ers,Langston
1971,1,1,6,6,John Riggins,Jets,Kansas
NA,2,1,7,7,Joe Profit,Falcons,Northeast Louisiana
NA,3,1,9,9,John Brockington,Packers,Ohio State
NA,4,1,11,11,Joe Moore,Bears,Missouri
NA,5,1,13,13,Leon Burns,Chargers,Cal State-Long Beach
NA,6,1,22,22,Don McCauley,Colts,North Carolina
NA,7,1,24,24,Leo Hayden,Vikings,Ohio State
NA,8,2,2,28,James Harrison,Bears,Missouri
NA,9,2,14,40,Bo Cornell,Browns,Washington
NA,10,2,20,46,Virgil Robinson,Packers,Grambling State
NA,11,2,23,49,Joe Orduna,49ers,Nebraska
NA,12,3,5,57,Jim Braxton,Bills,West Virginia
NA,13,3,8,60,Steve Davis,Steelers,Delaware State
NA,14,3,13,65,Mike Montgomery,Chargers,Kansas City
NA,15,3,17,69,Sam Scarber,Cowboys,New Mexico
NA,16,4,4,82,Carlos Bell,Saints,Houston
NA,17,4,12,90,Steve Worster,Rams,Texas
NA,18,4,15,93,Fred Willis,Bengals,Boston College
NA,19,4,19,97,Clarence Davis,Raiders,USC
NA,20,4,23,101,Tony Harris,49ers,Toledo
NA,21,4,24,102,Vince Clements,Vikings,Connecticut
NA,22,5,5,109,Willie Armstrong,Oilers,Grambling State
NA,23,5,16,120,Mike Adamle,Chiefs,Northwestern
NA,24,6,2,132,Don Moorhead,Saints,Michigan
NA,25,6,13,143,Jacob Mayes,Chargers,Tennessee State
NA,26,7,20,176,Dennis Ferris,Bears,Pittsburgh
NA,27,8,2,184,Larry Crowe,Steelers,Texas Southern
NA,28,8,3,185,Tyrone Walls,Bills,Missouri
NA,29,8,14,196,Larry Zelina,Browns,Ohio State
NA,30,8,19,201,Bob Gresham,Saints,West Virginia
NA,31,9,1,209,Josh Ashton,Patriots,Tulsa
NA,32,9,10,218,Barry Mayer,Packers,Minnesota
NA,33,9,19,227,Dave Garnett,Raiders,Pittsburgh
NA,34,9,21,229,Mickey Zofko,Lions,Auburn
NA,35,9,24,232,Tim Sullivan,Vikings,Iowa
NA,36,9,26,234,Bill Burnett,Colts,Arkansas
NA,37,10,2,236,Ron Cardo,49ers,Wisconsin-Oshkosh
NA,38,10,5,239,Rocky Pamplin,Saints,Hawaii
NA,39,10,10,244,Jesse Taylor,Redskins,Cincinnati
NA,40,10,22,256,Tom Bailey,Eagles,Florida State
NA,41,11,4,264,Albert Davis,Eagles,Tennessee State
NA,42,11,11,271,John Lanier,Packers,Parsons
NA,43,12,16,302,Tony Esposito,Chiefs,Pittsburgh
NA,44,12,21,307,Leroy Byars,Dolphins,Alcorn State
NA,45,13,12,324,Jack Martin,Packers,Angelo State
NA,46,13,19,331,Russell Harrison,Rams,Kansas State
NA,47,13,20,332,David Abercrombie,Lions,Tulane
NA,48,13,23,335,John Bullock,49ers,Purdue
NA,49,13,25,337,James Ford,Cowboys,Texas Southern
NA,50,14,9,347,Willie Lewis,Bears,Arizona
NA,51,14,18,356,Charles Evans,Giants,USC
NA,52,14,26,364,Mike Mikolayunas,Colts,Davidson
NA,53,15,4,368,Andy Hopkins,Oilers,Stephen F. Austin
NA,54,15,5,369,Charles Cole,Bills,Toledo
NA,55,15,7,371,Wallace Clark,Falcons,Auburn
NA,56,15,9,373,Larry James,Broncos,Norfolk State
NA,57,15,15,379,Bob Thomas,Bengals,Arizona State
NA,58,15,17,381,Ted Heiskell,Cardinals,Houston
NA,59,16,3,393,Mose Denson,Oilers,Maryland State
NA,60,16,6,396,Steve Harkey,Jets,Georgia Tech
NA,61,16,7,397,Lindsey James,Falcons,San Diego State
NA,62,17,7,423,Willie Martin,Falcons,Johnson C. Smith
NA,63,17,8,424,Danny Ehle,Steelers,Howard Payne
NA,64,17,25,441,Don Nottingham,Colts,Kent State
1970,1,1,8,8,Larry Stegent,Cardinals,Texas A&M
NA,2,1,11,11,Bobby Anderson,Broncos,Colorado
NA,3,1,18,18,Norm Bulaich,Colts,Texas Christian
NA,4,1,19,19,Steve Owens,Lions,Oklahoma
NA,5,1,23,23,Duane Thomas,Cowboys,West Texas State
NA,6,2,13,39,Art Malone,Falcons,Arizona State
NA,7,2,14,40,William Dusenbury,Oilers,Johnson C. Smith
NA,8,2,22,48,John Isenbarger,49ers,Indiana
NA,9,2,24,50,Ted Koy,Raiders,Texas
NA,10,3,6,58,Charlie Pittman,Cardinals,Penn State
NA,11,3,7,59,Lee Bouggess,Eagles,Louisville
NA,12,4,12,90,Jim Evenson,Steelers,Oregon
NA,13,5,4,108,Clifford McClain,Jets,South Carolina State
NA,14,5,8,112,Bruce Van Ness,Falcons,Rutgers
NA,15,5,15,119,Pettus Farrar,Chargers,Norfolk State
NA,16,5,17,121,Danny Pierce,Redskins,Memphis State
NA,17,5,21,125,Steve Engel,Browns,Colorado
NA,18,5,25,129,Greg Jones,Vikings,UCLA
NA,19,6,4,134,Ken Edwards,Bills,Virginia Tech
NA,20,6,13,143,Mack Herron,Falcons,Kansas State
NA,21,7,1,157,Danny Griffin,Steelers,Texas-Arlington
NA,22,7,4,160,Odell Lawson,Patriots,Langston
NA,23,7,9,165,Jim Strong,49ers,Houston
NA,24,8,3,185,Narvel Chavers,Dolphins,Jackson State
NA,25,8,15,197,Tim Mjos,Packers,North Dakota State
NA,26,8,26,208,Louis Porter,Broncos,Southern
NA,27,9,3,211,Hubert Ginn,Dolphins,Florida A&M
NA,28,9,6,214,Paul White,Cardinals,Texas-El Paso
NA,29,9,8,216,Bill Bolden,Bengals,UCLA
NA,30,9,10,218,Jim Otis,Saints,Ohio State
NA,31,10,9,243,Larry Schreiber,49ers,Tennessee Tech
NA,32,10,10,244,Jim Brumfield,Saints,Indiana State
NA,33,10,14,248,Joe Dawkins,Oilers,Wisconsin
NA,34,10,19,253,Bruce Maxwell,Lions,Arkansas
NA,35,10,20,254,Cleve Dickerson,Jets,Miami (OH)
NA,36,10,22,256,Vince Opalsky,Rams,Miami (FL)
NA,37,11,5,265,Terry Williams,Bills,Grambling State
NA,38,11,12,272,Mike Brunson,Falcons,Arizona State
NA,39,11,13,273,Alan Pitcaithley,Giants,Oregon
NA,40,11,18,278,George Edwards,Colts,Fairmont State
NA,41,11,22,282,David Bookert,Rams,New Mexico
NA,42,11,26,286,Bill O'Neal,Chiefs,Grambling State
NA,43,12,11,297,Greg Jones,Broncos,Wisconsin-Whitewater
NA,44,12,13,299,Lonnie Holton,Falcons,Northern Michigan
NA,45,12,23,309,Joe Williams,Cowboys,Wyoming
NA,46,13,1,313,Billy Main,Steelers,Oregon State
NA,47,13,3,315,Dave Buddington,Dolphins,Springfield (MA)
NA,48,13,16,328,Dave Smith,Packers,Utah
NA,49,13,21,333,Larry Roberts,Browns,Central Missouri State
NA,50,13,24,336,Don Highsmith,Raiders,Michigan State
NA,51,14,5,343,Garvie Craw,Patriots,Michigan
NA,52,14,17,355,Tony Moro,Redskins,Dayton
NA,53,14,26,364,Glenn Dumont,Chiefs,American International
NA,54,15,13,377,Warren Muir,Giants,South Carolina
NA,55,15,15,379,Eugene Childs,Chargers,Texas-El Paso
NA,56,16,8,398,Gary Fowler,Cardinals,California
NA,57,16,16,406,Mike Green,Chargers,Nebraska
NA,58,16,18,408,John Maitland,Colts,Williams
NA,59,17,6,422,Richard Smith,Bengals,Washington State
NA,60,17,16,432,Lawrence Krause,Packers,St. Norbert
NA,61,17,20,436,Dick Beard,Jets,Kentucky
NA,62,17,21,437,Charles Tabb,Browns,McMurry
1969,1,1,1,1,O.J. Simpson,Bills,USC
NA,2,1,3,3,Leroy Keyes,Eagles,Purdue
NA,3,1,8,8,Larry Smith,Rams,Florida
NA,4,1,20,20,Ron Johnson,Browns,Michigan
NA,5,1,24,24,Calvin Hill,Cowboys,Yale
NA,6,2,1,27,Bill Enyard,Bills,Oregon State
NA,7,2,3,29,Paul Gipson,Falcons,Houston
NA,8,2,8,34,Altie Taylor,Lions,Utah State
NA,9,2,16,42,Warren Bankston,Steelers,Tulane
NA,10,2,18,44,Ron Sayers,Chargers,Omaha
NA,11,2,22,48,Ed Podolak,Chiefs,Iowa
NA,12,3,6,58,Carl Garrett,Patriots,New Mexico Highlands
NA,13,3,10,62,Ed Cross,Redskins,Arkansas-Pine Bluff
NA,14,3,11,63,Eugene Morris,Dolphins,West Texas State
NA,15,3,14,66,Ross Montgomery,Bears,Texas Christian
NA,16,3,26,78,Rich Johnson,Oilers,Illinois
NA,17,4,4,82,Bob Campbell,Steelers,Penn State
NA,18,4,5,83,Clem Turner,Bengals,Cincinnati
NA,19,4,9,87,Jacky Stewart,Colts,Texas Tech
NA,20,4,12,90,Perry Williams,Packers,Purdue
NA,21,4,16,94,Gene Moore,49ers,Occidental
NA,22,5,4,108,Walter Shockley,Cardinals,San Jose State
NA,23,5,9,113,Frank Quayle,Broncos,Virginia
NA,24,5,17,121,Corny Davis,Vikings,Kansas State
NA,25,5,26,130,Chris Gilbert,Jets,Texas
NA,26,6,1,131,Wandy Williams,Broncos,Hofstra
NA,27,6,6,136,Ken Newfield,Raiders,Louisiana State
NA,28,6,10,140,Mike Coleman,Broncos,Tampa
NA,29,6,16,146,Jim Thomas,49ers,Texas-Arlington
NA,30,6,19,149,Amos Van Pelt,Cardinals,Ball State
NA,31,6,25,155,John Pleasant,Chiefs,Alabama State
NA,32,7,3,159,Mike Schmeising,Eagles,St. Olaf
NA,33,7,10,166,Jeff Anderson,Redskins,Virginia
NA,34,7,15,171,Mike Richardson,Oilers,Southern Methodist
NA,35,7,25,181,Roland Moss,Colts,Toledo
NA,36,8,6,188,Bob Gladieux,Patriots,Notre Dame
NA,37,8,9,191,Larry Brown,Redskins,Kansas State
NA,38,8,13,195,George Irby,Giants,Tuskegee
NA,39,9,5,213,Mike Stripling,Bengals,Tulsa
NA,40,9,9,217,Henry Jones,Broncos,Grambling State
NA,41,9,12,220,David Hampton,Packers,Wyoming
NA,42,9,14,222,Joe Aluise,Bears,Arizona
NA,43,9,22,230,Claxton Welch,Cowboys,Oregon
NA,44,10,3,237,Jeff Stanciel,Falcons,Mississippi Valley State
NA,45,10,7,241,McKinley Reynolds,Saints,Hawaii
NA,46,10,9,243,Donnie Shanklin,Eagles,Kansas
NA,47,11,1,261,Bobby Hall,Bills,North Carolina State
NA,48,11,13,273,John Fuqua,Giants,Morgan State
NA,49,12,1,287,Lloyd Pate,Bills,Cincinnati
NA,50,12,7,293,Tom Broadhead,Saints,Santa Barbara
NA,51,12,15,301,Harry Blackney,Giants,Maryland
NA,52,12,18,304,Jim White,Chargers,Arkansas-Pine Bluff
NA,53,12,19,305,Howard Taylor,Cardinals,New Mexico State
NA,54,12,20,306,Dick David,Browns,Nebraska
NA,55,13,3,320,Wilson Bowie,Lions,USC
NA,56,13,10,327,Richard Pickens,Oilers,Tennessee
NA,57,14,4,342,Bob Houmard,Steelers,Ohio
NA,58,14,5,343,Mike Wilson,Bengals,Dayton
NA,59,14,12,350,Rich Voltzke,Packers,Minnesota-Duluth
NA,60,14,21,359,Ray Stephens,Rams,Minnesota
NA,61,15,1,365,Karl Wilson,Bills,Olivet (Mich)
NA,62,15,6,370,Brant Conley,Patriots,Tulsa
NA,63,15,18,382,Charlie Jarvis,Chargers,Army
NA,64,15,23,387,Alvin Presell,Raiders,Alabama A&M
NA,65,16,3,393,Ed Hughes,Falcons,Texas Southern
NA,66,16,19,409,Junior Riggins,Cardinals,Kansas
NA,67,16,25,415,James McMillan,Colts,Citadel
NA,68,16,26,416,George Nock,Jets,Morgan State
NA,69,17,2,418,Paul Williams,Falcons,California
NA,70,17,12,428,John Mack,Packers,Central Missouri State
NA,71,17,17,433,Wendell Housely,Vikings,Texas A&M
1968,1,1,8,8,Larry Csonka,Dolphins,Syracuse
NA,2,1,13,13,MacArthur Lane,Cardinals,Utah State
NA,3,1,16,16,Mike Hull,Bears,USC
NA,4,1,17,17,Lee White,Jets,Weber State
NA,5,2,12,39,Cyril Pinder,Eagles,Illinois
NA,6,2,28,55,Tom Smiley,Bengals,Lamar
NA,7,3,3,58,Garrett Ford,Broncos,West Virginia
NA,8,3,11,66,Reece Morrison,Browns,Southwest Texas State
NA,9,3,15,70,Bobby Duhon,Giants,Tulane
NA,10,3,27,82,Paul Robinson,Bengals,Arizona
NA,11,4,4,87,Don Fitzgerald,Cardinals,Kent State
NA,12,4,5,88,R.C. Gamble,Patriots,South Carolina State
NA,13,4,9,92,Brendan McCarthy,Packers,Boston College
NA,14,4,24,107,Jim Duncan,Colts,Maryland-Eastern Shore
NA,15,4,26,109,Warren McVea,Bengals,Houston
NA,16,4,27,110,Charlie Smith,Raiders,Utah
NA,17,5,3,114,Ben Gregory,Bills,Nebraska
NA,18,5,7,118,Jim Kiick,Dolphins,Wyoming
NA,19,5,14,125,Dwight Lee,49ers,Michigan State
NA,20,5,21,132,(Mini) Max Anderson,Bills,Arizona State
NA,21,5,23,134,Jackie Jackson,Browns,Clemson
NA,22,6,2,140,Jim Hagle,Falcons,Southern Methodist
NA,23,6,25,163,Charles Williams,Bengals,Arkansas-Pine Bluff
NA,24,6,26,164,Walter Chadwick,Packers,Tennessee
NA,25,7,6,171,Lenny Snow,Vikings,Georgia Tech
NA,26,7,9,174,Doug Dalton,Steelers,New Mexico State
NA,27,7,11,176,Bob Brunet,Redskins,Louisiana Tech
NA,28,7,21,186,Dale Brad,Browns,Memphis State
NA,29,7,23,188,Anthony Andrews,Colts,Hampton
NA,30,8,8,200,Bob Taylor,Jets,Maryland-Eastern Shore
NA,31,8,11,203,Brian Magnuson,Redskins,Montana
NA,32,8,16,208,Wayne Bell,Bears,Lenoir-Rhyne
NA,33,9,8,227,Gary McDermott,Bills,Tulsa
NA,34,9,18,237,Grundy Harris,Chargers,Southern
NA,35,9,23,242,Terry Cole,Colts,Indiana
NA,36,9,26,245,Bob Apisa,Packers,Michigan State
NA,37,10,1,247,Wayne Patrick,Bengals,Louisville
NA,38,10,24,270,Ed Tomlin,Colts,Hampton
NA,39,11,3,276,Bennie Blocker,Saints,South Carolina State
NA,40,11,8,281,Dick Plagge,Bills,Auburn
NA,41,11,19,292,Ron Shotts,Cowboys,Oklahoma
NA,42,12,2,302,A.J. Vaughn,Falcons,Wayne State
NA,43,12,22,322,Barry Lischner,Oilers,Missouri
NA,44,13,2,329,Bill Harris,Falcons,Colorado
NA,45,13,22,349,Jimmy Dousay,Oilers,Louisiana State
NA,46,13,25,352,Larry Blackstone,Raiders,Fairmont State
NA,47,13,27,354,Teddy Washington,Bengals,San Diego State
NA,48,14,1,355,Les Webster,Bengals,Iowa State
NA,49,14,2,356,Joe Polk,Falcons,Livingstone (NC)
NA,50,14,5,359,Herb Covington,Saints,Memphis State
NA,51,14,14,368,Bill Moreman,Giants,Florida State
NA,52,14,15,369,Alex Moore,49ers,Norfolk State
NA,53,14,18,372,Harvey Nairn,Jets,Southern
NA,54,14,20,374,Edgar Whipps,Browns,Jackson State
NA,55,14,21,375,Robert Holmes,Chiefs,Southern
NA,56,15,3,384,Wilmer Cooks,Saints,Colorado
NA,57,15,10,391,Jim Oliver,Lions,Colorado State
NA,58,15,25,406,Mike Leinert,Raiders,Texas Tech
NA,59,16,5,413,Charley Fulton,Patriots,Tennessee
NA,60,16,9,417,Rocky Bleier,Steelers,Notre Dame
NA,61,16,11,419,Willie Turner,Redskins,Jackson State
NA,62,17,3,438,Steve Grady,Broncos,USC
NA,63,17,17,452,Myles Strasser,Jets,Wisconsin-Oshkosh
NA,64,17,19,454,George Nordgren,Cowboys,Houston
NA,65,17,24,459,Frank Antonini,Eagles,Parsons
NA,66,17,26,461,Ken Rota,Packers,North Dakota State
1967,1,1,2,2,Clint Jones,Vikings,Michigan State
NA,2,1,6,6,Floyd Little,Broncos,Syracuse
NA,3,1,7,7,Mel Farr,Lions,UCLA
NA,4,1,13,13,Ray McDonald,Redskins,Idaho
NA,5,1,19,19,Harry Jones,Eagles,Arkansas
NA,6,1,20,20,James Detwiler,Colts,Michigan
NA,7,1,26,26,Leslie Kelly,Saints,Alabama
NA,8,2,2,28,Bob Grim,Vikings,Oregon State
NA,9,2,7,33,Willie Ellison,Rams,Texas Southern
NA,10,2,9,35,Don Shy,Steelers,San Diego State
NA,11,2,20,46,Larry Conjar,Browns,Notre Dame
NA,12,2,23,49,Roy Hopkins,Oilers,Texas Southern
NA,13,3,4,57,Jim Jordan,Falcons,Florida
NA,14,3,10,63,Gary Lyle,Bears,George Washington
NA,15,3,12,65,Bill Tucker,49ers,Tennessee A&I
NA,16,3,15,68,Harry Wilson,Eagles,Nebraska
NA,17,3,27,80,Ben Hart,Saints,Oklahoma
NA,18,4,3,83,Carl Ward,Browns,Michigan
NA,19,4,13,93,Travis Williams,Packers,Arizona State
NA,20,4,14,94,Dick Post,Chargers,Houston
NA,21,4,20,100,Charles Stukes,Colts,Maryland State
NA,22,5,1,108,Don McCall,Saints,USC
NA,23,5,2,109,Dave Lewis,Giants,Stanford
NA,24,5,3,110,Fran Lynch,Broncos,Hofstra
NA,25,5,17,124,Gerald Warfield,Raiders,Mississippi
NA,26,5,22,129,Gary Tucker,Dolphins,Chattanooga
NA,27,6,12,145,Doug Cunningham,49ers,Mississippi
NA,28,6,15,148,Eugene Snipes,Falcons,Elizabeth City
NA,29,6,17,150,Mike Campbell,Cardinals,Lenoir-Rhyne
NA,30,6,23,156,Nolan Smith,Chiefs,Tennessee A&I
NA,31,6,25,158,Steward Williams,Packers,Bowling Green
NA,32,7,4,163,Larry Seiple,Dolphins,Kentucky
NA,33,7,21,180,Bobby Leo,Patriots,Harvard
NA,34,7,26,185,Bob McKelvey,Saints,Northwestern
NA,35,8,3,188,Estes Banks,Raiders,Colorado
NA,36,8,4,189,John Brunson,Oilers,Benedictine
NA,37,8,18,203,Don Klacking,Eagles,Wyoming
NA,38,9,11,222,Pete Larsen,Redskins,Cornell
NA,39,9,15,226,Tommie Smith,Rams,San Jose State
NA,40,9,18,229,Ron Kirkland,Colts,Nebraska
NA,41,10,5,242,Woodrow Campbell,Oilers,Northwestern
NA,42,10,7,244,Pete Tatman,Vikings,Nebraska
NA,43,10,23,260,Eugens Bowens,Cowboys,Tennessee A&I
NA,44,11,2,265,Pete Pifer,Giants,Oregon State
NA,45,11,10,273,Earl Mayo,Bears,Morgan State
NA,46,11,14,277,Carroll Jarvis,Chargers,Virginia
NA,47,13,4,319,George Carter,Bills,St. Bonaventure
NA,48,13,22,337,Randy Wheeler,Bills,Georgia
NA,49,13,24,339,Linwood Simmons,Chiefs,Edward Waters
NA,50,14,5,346,Tom Bryan,Falcons,Auburn
NA,51,14,6,347,Tom Francisco,Broncos,Virginia Tech
NA,52,14,12,353,Andy Socha,Redskins,Marshall
NA,53,14,16,357,Bo Hickey,Cardinals,Maryland
NA,54,14,21,362,Vern Moore,Bills,Central State (OK)
NA,55,14,25,366,Claudis James,Packers,Jackson State
NA,56,15,4,371,Al Nicholas,Falcons,Sacramento State
NA,57,15,9,376,Mike Love,Steelers,Abilene Christian
NA,58,15,17,384,Ben Woodson,Raiders,Utah
NA,59,15,24,391,Dennis Caponi,Chiefs,Xavier
NA,60,15,26,393,Darrell Johnson,Saints,Lamar Tech
NA,61,16,4,397,Maurice Calhoun,Dolphins,Central State (OH)
NA,62,16,21,414,Dick Nocera,Patriots,Southern Connecticut
NA,63,16,22,415,Mike Irwin,Bills,Penn State
NA,64,16,24,417,Charles Noggle,Chiefs,North Carolina State
NA,65,16,25,418,Fred Cassidy,Packers,Miami (FL)
NA,66,17,1,420,Dan Abramowicz,Saints,Xavier
NA,67,17,2,421,Gary Rowe,Giants,North Carolina State
NA,68,17,9,428,Mike Davenport,Steelers,Wyoming
NA,69,17,14,433,John Gibbs,Chargers,South Carolina State
NA,70,17,22,441,Grover Smith,Bills,Ft. Valley State
1966,1,1,1,1,Jim Grabowski,Dolphins,Illinois
NA,2,1,3,3,Dick Leftridge,Steelers,West Virginia
NA,3,1,9,9,Jim Grabowski,Packers,Illinois
NA,4,2,2,18,Mike Garrett,Rams,USC
NA,5,2,8,24,Nick Eddy,Lions,Notre Dame
NA,6,2,11,27,Jim Lindsey,Vikings,Arkansas
NA,7,3,1,33,Mike Dennis,Falcons,Mississippi
NA,8,3,5,37,Al Randolph,49ers,Iowa
NA,9,3,6,38,Tom Barrington,Redskins,Ohio State
NA,10,4,2,50,Henry Dyer,Rams,Grambling State
NA,11,4,15,63,Hoyle Granger,Colts,Mississippi State
NA,12,4,16,64,Willie Asbury,Falcons,Kent State
NA,13,5,1,65,Bill Wolski,Falcons,Notre Dame
NA,14,5,4,68,Dan Berry,Eagles,California
NA,15,5,10,74,Randy Schultz,Browns,Northern Iowa
NA,16,5,15,79,Walt Garrison,Cowboys,Oklahoma State
NA,17,7,1,96,William Johnson,Falcons,University of the South
NA,18,7,3,98,Emerson Boozer,Steelers,Maryland-Eastern Shore
NA,19,7,9,104,Phil Harris,Giants,Texas
NA,20,8,2,112,Vilnis Ezerins,Rams,Wisconsin-Whitewater
NA,21,8,5,115,Stan Mitchell,Redskins,Tennessee
NA,22,8,6,116,Don Kunit,Cowboys,Penn State
NA,23,8,7,117,John Pincavage,Lions,Virginia
NA,24,8,10,120,Jerry Allen,Colts,Nebraska-Omaha
NA,25,9,2,127,Burton Matthies,Rams,Wayne State
NA,26,9,4,129,Jim Todd,Eagles,Ball State
NA,27,9,13,138,Ron Rector,Packers,Northwestern
NA,28,9,15,140,Jerry Gross,Colts,Auburn
NA,29,10,6,146,Mason Mitchell,Cowboys,Washington
NA,30,10,9,149,Mike Ringer,Cardinals,Oklahoma
NA,31,10,12,152,Bobby Burnett,Bears,Arkansas
NA,32,11,2,157,Darrell Hoover,Rams,Arizona
NA,33,11,3,158,Charley Washington,Steelers,Grambling State
NA,34,11,8,163,Bobby Williams,Cardinals,Central State (OK)
NA,35,11,11,166,Preston Ridlehuber,49ers,Georgia
NA,36,12,6,176,Craig Baynham,Cowboys,Georgia Tech
NA,37,12,14,184,Jim Mankins,Packers,Florida State
NA,38,13,2,187,Jake David,Rams,Lamar
NA,39,13,4,189,Jim Bohl,Eagles,New Mexico State
NA,40,13,5,190,Ron Lamb,Cowboys,South Carolina
NA,41,13,9,194,Jim Jackson,49ers,Western Illinois
NA,42,14,4,204,Ron Medved,Eagles,Washington
NA,43,14,5,205,Jerry Lovelace,Redskins,Texas Tech
NA,44,14,6,206,Lewis Turner,Cowboys,Norfolk State
NA,45,15,6,221,Hal Seymour,Redskins,Florida
NA,46,15,8,223,Hugh Wright,Vikings,Adams State
NA,47,15,11,226,Steve Bowman,Giants,Alabama
NA,48,16,5,235,Hal Wantland,Redskins,Tennessee
NA,49,16,6,236,Tom Piggee,Cowboys,Cal State-San Francisco
NA,50,16,10,240,Sam Price,Giants,Illinois
NA,51,17,11,256,Monroe Beard,Vikings,Virginia Union
NA,52,18,5,265,Joe Burson,Redskins,Georgia
NA,53,18,13,273,Charley Harraway,Browns,San Jose State
NA,54,19,9,284,Jessie Stokes,Vikings,Corpus Christi State
NA,55,19,12,287,Roger Haberer,Bears,Eastern Illinois
NA,56,19,15,290,Ken Duke,Colts,Morgan State
NA,57,20,0,0,Mike Garrett,Chiefs,USC
NA,58,20,2,292,Bud Harrington,Rams,Tulsa
NA,59,20,10,300,Allen Smith,Lions,Findlay
NA,60,20,11,301,Randy Minniear,Giants,Purdue
1965,1,1,1,1,Tucker Frederickson,Giants,Auburn
NA,2,1,2,2,Ken Willard,49ers,North Carolina
NA,3,1,4,4,Gale Sayers,Bears,Kansas
NA,4,1,7,7,Donny Anderson,Packers,Texas Tech
NA,5,1,9,9,Clancy Williams,Rams,Washington State
NA,6,1,11,11,Tom Nowatzke,Lions,Indiana
NA,7,2,8,22,Gerry Bussell,Browns,Georgia Tech
NA,8,3,3,31,Chuck Mercein,Giants,Yale
NA,9,3,4,32,Bo Scott,Browns,Ohio State
NA,10,3,7,35,Al Nelson,Eagles,Cincinnati
NA,11,4,1,43,Henry Carr,Giants,Arizona State
NA,12,4,3,45,Jim Nance,Bears,Syracuse
NA,13,4,5,47,Jimmy Sidle,Cowboys,Auburn
NA,14,4,12,54,Johnny Roland,Cardinals,Missouri
NA,15,5,10,66,Doug Goodwin,Packers,Maryland-Eastern Shore
NA,16,5,12,68,Bob Bonds,Cardinals,San Jose State
NA,17,6,1,71,Bobby Felts,Colts,Florida A&M
NA,18,6,3,73,Tony Carey,Bears,Notre Dame
NA,19,6,5,75,Sonny Utz,Cowboys,Virginia Tech
NA,20,6,10,80,Bill Symons,Packers,Colorado
NA,21,7,4,88,Dick Gordon,Bears,Michigan State
NA,22,7,10,94,Junior Coffey,Packers,Washington
NA,23,9,2,114,Wayne Swinford,49ers,Georgia
NA,24,9,5,117,Jim Zanios,Cowboys,Texas Tech
NA,25,10,2,128,Bob Cappadona,49ers,Northeastern
NA,26,10,7,133,Bob Briggs,Redskins,Central State (OK)
NA,27,10,8,134,Jim Burt,Rams,Western Kentucky
NA,28,11,1,141,Ernie Koy,Giants,Texas
NA,29,11,7,147,Louis James,Eagles,Texas-El Paso
NA,30,11,9,149,Merlin Walet,Rams,McNeese State
